,percentage,size
197,36.219805728415594,36864
198,35.719326003201914,72192
199,67.85954068518177,16896
200,71.09808066726336,229888
201,37.629551523441066,151040
202,71.2258955694564,79472
203,107.68781065171609,142848
204,60.67188795300022,13312
205,32.55639703577137,34304
206,103.5088285822405,186368
207,36.83837318775944,155136
208,38.99290878832482,118784
209,34.73214454268202,36864
210,35.77565958224175,37376
211,34.703824797461905,17408
212,36.46435312020412,16896
213,32.713278479780286,51712
214,27.42635600654621,41984
215,102.77857942368371,198144
216,100.21988690910217,3984336
217,37.60154862972617,45568
218,34.172998740438736,222208
219,,146768
220,,86360
221,37.420688925238466,67584
222,39.92567626837549,10752
223,,88920
224,34.07826065392689,49176
225,38.57333449400755,49664
226,73.16961998262416,100864
227,104.7413909772725,116736
228,42.4863966200819,22528
229,71.7985301178354,13312
230,37.02387405290993,40960
231,102.195556676664,741888
232,64.28057282541775,58368
233,75.37535665127902,270208
234,42.54601416165784,57576
235,87.57302969997642,800768
236,30.511330271143187,83968
237,88.65280853324572,214016
238,41.40698467723202,182680
239,75.6022176373254,114176
240,36.11063227641246,799744
241,45.853019676886156,794624
242,13.59432608461275,345088
243,65.79356748706286,482816
244,64.5155361820459,108544
245,88.4003036035954,146432
246,33.72277928077417,45568
247,62.57820881679919,86528
248,64.15247807979429,91648
249,68.00016158752906,50200
250,107.01375685336825,409600
251,62.57786745954527,31032
252,106.59593772307745,1936384
253,114.66763443997651,1685504
254,47.329183595884736,97792
255,35.46116235774152,17920
256,40.029221847494874,19456
257,85.96391589812853,563832
258,34.125269651504695,16896
259,95.36345607677163,184320
260,53.58862794918814,1559040
261,44.78144812935062,146944
262,60.41184282769112,14848
263,49.0534637518214,26112
264,54.84266165545699,14848
265,44.10047921666006,66048
266,95.05616977264143,369664
267,102.53055876999694,6722560
268,92.09559175799949,568832
269,77.63690858643278,73728
270,61.753746541926844,3630080
271,29.25806411198641,130048
272,96.88861774944333,106496
273,31.866322485253164,53760
274,28.342322621483824,402432
275,,249856
276,33.31413378971949,264040
277,78.59616386353717,360448
278,50.12230089676749,20992
279,62.2821320239135,65536
280,61.02290844346475,56832
281,78.11866202280284,175104
282,27.541430734110026,25600
283,47.66624175523258,35328
284,77.7894995347017,78336
285,36.963716251671556,46080
286,59.37920320447925,10752
287,28.037776037813064,29696
288,48.61201635850851,39936
289,43.19417637871792,92672
290,32.849401872384796,38912
291,34.87245948925579,68096
292,12.78175370934678,505856
293,34.17367111283112,246784
294,,278448
295,10.889394704692323,86528
296,34.11355298424954,25600
297,51.23061403829833,87040
298,77.41195405835643,307712
299,35.06577811068083,61952
300,68.39146112040252,71680
301,,111632
302,45.80434586089075,111104
303,65.72429342040338,620032
304,33.36176023016556,37376
305,65.834299599678,87552
306,,43984
307,36.17646628417513,19456
308,30.59372705400215,50176
309,26.57775407088035,69632
310,54.90699426637045,15872
311,81.2868278409939,175616
312,,108144
313,,103328
314,33.84314517531125,21504
315,14.327246577513082,206848
316,64.39338823544814,10752
317,63.163917306915494,56320
318,58.76265064487454,236032
319,30.307259869823703,94208
320,95.41151236084164,259584
321,31.836710604763418,222720
322,48.30060379556132,28160
323,36.24500409128601,16896
324,69.27887670415643,72704
325,,30048
326,113.36328643792453,836608
327,47.79979936591621,76288
328,32.87869427612773,33792
329,42.478278757138085,60928
330,44.95743192638736,73216
331,,264136
332,40.372536725981774,20728
333,78.77012545419402,593408
334,106.20327669764686,790528
335,64.5050509542605,35840
336,51.71911550191134,24064
337,35.12756622554382,27648
338,45.48579871961747,16896
339,96.96504188210344,559104
340,40.1852472118944,24576
341,53.998106645258616,28672
342,31.42712586867872,17920
343,33.80318525820963,20480
344,82.42871087120783,128000
345,33.30630184818274,34304
346,41.99104609895925,414720
347,,320512
348,40.98130416959194,178176
349,31.30107559716206,43008
350,31.12077957715487,25600
351,41.10349655419071,28672
352,44.869332395038946,421376
353,34.454378848122474,86016
354,35.153539018554355,46080
355,37.98465567711156,57856
356,39.80039794457594,107008
357,49.01133504246319,40448
358,32.86796123890316,193536
359,38.27591443949642,13824
360,82.74628852984063,1570304
361,83.5190970702122,947200
362,43.15984452579866,73216
363,63.85098447489167,11776
364,27.050090445122596,46080
365,74.3121165882314,24064
366,33.232409373206494,24064
367,31.566606812364512,120832
368,35.980552907734726,43008
369,73.2477798666781,157696
370,43.818045561092816,12800
371,57.32689029657159,127488
372,35.36188920720483,21504
373,43.693583621481174,17408
374,65.63239791202,11264
375,36.262731066750796,567808
376,43.4069828112712,597504
377,41.548218107654215,492544
378,41.125651398086,494080
379,65.36268323556996,17408
380,91.35794103581125,138752
381,88.37650605500957,133120
382,33.30137503588318,23552
383,31.099114610904117,30208
384,45.1302701724715,46592
385,36.584256751305404,266752
386,34.91313007076158,19456
387,33.408440544543154,71168
388,57.79151141932693,97792
389,46.74276526174178,72704
390,50.99459449403425,58368
391,,96672
392,50.04719342201617,22528
393,90.47474648493193,69120
394,100.0886934974404,225280
395,35.069165525987145,23552
396,82.02770233272483,49152
397,32.009886777623514,1211904
398,54.415102371539405,24576
399,101.44696978208167,225280
400,105.33601844900312,982016
401,100.43097866576154,377856
402,32.62678353011518,39936
403,61.778608805487174,10240
404,87.9664643093788,519152
405,92.22386003534925,1288704
406,83.7474542741074,616888
407,30.081050695784498,74240
408,,74440
409,39.93189250403126,282624
410,33.539347475612885,29184
411,78.16336214994934,967584
412,63.64328980077147,126976
413,33.11083466946256,54784
414,44.068683788418426,41472
415,83.4670700323305,402944
416,34.02453889115191,26624
417,32.496717844562845,74752
418,89.66576784257356,266752
419,41.56363668435838,78336
420,,19704
